,lat,lng,Hotel_Name,prediction
0,45.46823501586914,9.207380294799805,Ch teau Monfort Relais Ch teaux,0
1,45.46086120605469,9.189021110534668,The Square Milano Duomo,3
2,45.48537063598633,9.211584091186523,ADI Doria Grand Hotel,3
3,45.478736877441406,9.204113006591797,Best Western Plus Hotel Felice Casati,3
4,45.48588943481445,9.204282760620117,Hotel Auriga,3
5,45.461177825927734,9.191046714782715,Brunelleschi Hotel,3
6,45.4847412109375,9.207291603088379,Starhotels Echo,3
7,45.498416900634766,9.190437316894531,Atahotel Contessa Jolanda,0
8,45.4769172668457,9.196664810180664,NH Milano Touring,3
9,45.47945785522461,9.19514274597168,Windsor Hotel Milano,3
10,45.47927474975586,9.145954132080078,Meli Milano,0
11,45.5099983215332,9.173994064331055,Acca Palace,0
12,45.48670196533203,9.157513618469238,Enterprise Hotel Design Boutique,0
13,45.45104217529297,9.160654067993164,Nhow Milan,0
14,45.479888916015625,9.196298599243164,Hotel Principe Di Savoia,0
15,45.45210647583008,9.175813674926758,Maison Borella,0
16,45.48413848876953,9.200161933898926,UNA Hotel Century,3
17,45.46382141113281,9.194026947021484,Rosa Grand Milano Starhotels Collezione,3
18,45.46354293823242,9.206865310668945,Bianca Maria Palace Hotel,3
19,45.48341369628906,9.16663646697998,Hotel Mozart,3
20,45.4881477355957,9.201661109924316,Best Western Madison Hotel,3
21,45.48149108886719,9.192023277282715,NH Milano Grand Hotel Verdi,0
22,45.48488235473633,9.159646034240723,Qualys Hotel Nasco,3
23,45.43783950805664,9.230900764465332,Starhotels Business Palace,2
24,45.500667572021484,9.144587516784668,Radisson Blu Hotel Milan,0
25,45.51616668701172,9.227277755737305,Hilton Garden Inn Milan North,3
26,45.44818878173828,9.25704574584961,Novotel Milano Linate Aeroporto,3
27,45.46842575073242,9.183416366577148,UNA Hotel Cusani,3
28,45.4594841003418,9.179511070251465,Hotel Regina,3
29,45.486202239990234,9.200322151184082,Hilton Milan,3
30,45.46595764160156,9.192296981811523,Sina De La Ville,3
31,45.46513748168945,9.18952465057373,Room Mate Giulia,0
32,45.46229553222656,9.181469917297363,Hotel Mentana,3
33,45.49951934814453,9.206137657165527,IH Hotels Milano Gioia,1
34,45.46443557739258,9.195272445678711,IH Hotels Milano Ambasciatori,2
35,45.46523666381836,9.19124698638916,STRAF a Member of Design Hotels,0
36,45.482669830322266,9.203436851501465,Hotel Berna,3
37,45.48525619506836,9.206950187683105,Starhotels Anderson,3
38,45.486873626708984,9.2018404006958,Hotel Marconi,3
39,45.450130462646484,9.169648170471191,Art Hotel Navigli,3
40,45.443790435791016,9.152947425842285,IH Hotels Milano Watt 13,3
41,45.47397994995117,9.196066856384277,Hotel Manin,3
42,45.48451614379883,9.205753326416016,Hotel Michelangelo,3
43,45.52572250366211,9.21500301361084,Hotel degli Arcimboldi,2
44,45.483848571777344,9.20340633392334,Glam Milano,2
45,45.48423767089844,9.198858261108398,LaGare Hotel Milano Centrale MGallery by Sofitel,3
46,45.45315170288086,9.179171562194824,The Yard Milano,0
47,45.52663803100586,9.213154792785645,Starhotels Tourist,3
48,45.46357727050781,9.186909675598145,Hotel Spadari Al Duomo,0
49,45.477088928222656,9.20542049407959,Best Western Hotel St George,0
50,45.47943878173828,9.209675788879395,IH Hotels Milano Puccini,0
51,45.463069915771484,9.19793701171875,NH Collection Milano President,3
52,45.48058319091797,9.211732864379883,Best Western Plus Hotel Galles,3
53,45.48134231567383,9.203948974609375,Hotel Mediolanum,3
54,45.472694396972656,9.194391250610352,Hotel Cavour,3
55,45.47206497192383,9.077787399291992,Idea Hotel Milano San Siro,1
56,45.4779052734375,9.20949649810791,Starhotels Ritz,2
57,45.4830207824707,9.203324317932129,Best Western Atlantic Hotel,0
58,45.50194549560547,9.22775650024414,Ramada Plaza Milano,0
59,45.49118423461914,9.239361763000488,Nu Hotel,0
60,45.460853576660156,9.188617706298828,Hotel Dei Cavalieri,2
61,45.471405029296875,9.19653034210205,Senato Hotel Milano,0
62,45.48298263549805,9.204191207885742,Colombia,0
63,45.500022888183594,9.142871856689453,Milan Suite Hotel,0
64,45.47588348388672,9.205791473388672,Worldhotel Cristoforo Colombo,3
65,45.48967361450195,9.200640678405762,Crowne Plaza Milan City,0
66,45.45746612548828,9.191913604736328,Uptown Palace,3
67,45.46332931518555,9.188424110412598,UNA Maison Milano,3
